"Executed Date","BOROUGH","count"
"04/16/2019","MANHATTAN","16"
"02/07/2023","BROOKLYN","5"
"08/20/2025","QUEENS","24"
"09/19/2017","BRONX","33"
"04/03/2017","MANHATTAN","20"
"04/10/2017","BRONX","22"
"08/09/2018","BRONX","25"
"05/28/2025","BROOKLYN","17"
"07/21/2022","BROOKLYN","1"
"12/22/2021","BRONX","3"
"12/17/2018","STATEN ISLAND","4"
"02/22/2017","QUEENS","9"
"10/03/2018","STATEN ISLAND","4"
"05/02/2017","MANHATTAN","27"
"10/03/2019","STATEN ISLAND","2"
"07/15/2025","MANHATTAN","21"
"03/31/2025","BRONX","9"
"07/27/2017","QUEENS","18"
"01/19/2023","QUEENS","1"
"08/31/2023","QUEENS","10"
"04/12/2018","STATEN ISLAND","3"
"09/10/2024","STATEN ISLAND","2"
"09/26/2017","QUEENS","14"
"10/10/2024","BRONX","41"
"05/16/2019","BROOKLYN","19"
"04/09/2025","STATEN ISLAND","1"
"04/09/2024","MANHATTAN","32"
"04/06/2017","STATEN ISLAND","6"
"11/30/2018","BRONX","15"
"03/16/2022","QUEENS","2"
"06/05/2018","BROOKLYN","16"
"08/01/2017","BRONX","35"
"02/21/2023","MANHATTAN","13"
"08/07/2018","MANHATTAN","22"
"06/21/2022","BROOKLYN","20"
"07/12/2022","MANHATTAN","10"
"10/10/2017","QUEENS","18"
"06/27/2019","BROOKLYN","13"
"03/14/2025","QUEENS","6"
"07/18/2025","MANHATTAN","15"
"09/20/2018","BROOKLYN","37"
"06/10/2024","STATEN ISLAND","2"
"07/10/2017","MANHATTAN","21"
"02/03/2023","STATEN ISLAND","9"
"01/16/2020","QUEENS","11"
"11/15/2024","MANHATTAN","7"
"03/28/2024","QUEENS","14"
"06/23/2022","MANHATTAN","1"
"11/10/2022","BROOKLYN","26"
"07/20/2022","QUEENS","4"
"03/27/2019","MANHATTAN","13"
"04/18/2017","QUEENS","42"
"03/20/2023","BROOKLYN","14"
"08/16/2017","BROOKLYN","37"
"02/08/2024","BROOKLYN","12"
"04/04/2025","STATEN ISLAND","1"
"01/10/2022","MANHATTAN","1"
"03/10/2023","BRONX","3"
"05/20/2019","BROOKLYN","34"
"01/27/2020","QUEENS","26"
"02/06/2025","BRONX","44"
"05/02/2023","MANHATTAN","6"
"07/13/2023","BROOKLYN","9"
"11/22/2019","BRONX","25"
"03/19/2025","STATEN ISLAND","3"
"11/04/2022","BRONX","13"
"09/17/2018","BROOKLYN","29"
"08/26/2025","QUEENS","20"
"04/04/2024","QUEENS","9"
"08/26/2024","BRONX","10"
"08/14/2019","QUEENS","15"
"11/02/2022","BROOKLYN","1"
"05/22/2025","STATEN ISLAND","2"
"02/21/2017","MANHATTAN","23"
"05/10/2018","QUEENS","22"
"09/18/2019","BROOKLYN","36"
"03/06/2019","BRONX","36"
"09/11/2023","BROOKLYN","15"
"09/19/2022","BROOKLYN","13"
"01/24/2023","BRONX","18"
"10/23/2024","QUEENS","14"
"06/29/2022","BROOKLYN","3"
