"CMPLNT_FR_DT","BORO_NM","count"
"09/03/2011","MANHATTAN","347"
"12/10/2021","QUEENS","350"
"09/06/2015","MANHATTAN","287"
"04/17/2010","(null)","2"
"03/05/2002","BROOKLYN","2"
"05/21/2007","BROOKLYN","438"
"10/14/2021","(null)","2"
"07/19/2024","QUEENS","295"
"10/06/2017","BROOKLYN","463"
"09/15/2005","QUEENS","12"
"03/28/2015","QUEENS","248"
"02/18/2014","BRONX","271"
"12/14/2007","MANHATTAN","442"
"08/27/2024","BROOKLYN","413"
"02/26/2023","(null)","2"
"07/04/2020","QUEENS","277"
"05/06/2013","STATEN ISLAND","61"
"06/25/2008","QUEENS","302"
"09/14/2019","MANHATTAN","321"
"06/07/2015","STATEN ISLAND","42"
"10/20/2011","BROOKLYN","447"
"05/01/2020","BRONX","259"
"12/21/2012","BROOKLYN","417"
"11/08/2008","BROOKLYN","404"
"07/10/1996","BRONX","1"
"02/26/2019","QUEENS","205"
"06/03/2011","STATEN ISLAND","86"
"06/14/2001","MANHATTAN","1"
"04/24/2009","MANHATTAN","405"
"11/18/2011","BROOKLYN","432"
"08/15/2013","MANHATTAN","360"
"06/05/2008","BRONX","351"
"11/14/2019","STATEN ISLAND","35"
"06/07/2021","MANHATTAN","297"
"11/08/2014","BRONX","330"
"12/01/1994","BROOKLYN","1"
"05/12/2012","MANHATTAN","381"
"02/12/2010","BRONX","316"
"11/27/2010","STATEN ISLAND","53"
"08/17/2017","BROOKLYN","423"
"01/26/2014","BRONX","220"
"11/12/2017","STATEN ISLAND","51"
"07/05/2007","STATEN ISLAND","88"
"02/15/1995","BROOKLYN","1"
"08/29/2010","MANHATTAN","302"
"05/03/2014","QUEENS","309"
"11/08/2004","BRONX","1"
"11/12/2010","STATEN ISLAND","84"
"04/08/2008","STATEN ISLAND","78"
"10/02/2012","BROOKLYN","426"
"06/13/2007","(null)","3"
"06/27/2011","BROOKLYN","411"
"04/13/2005","STATEN ISLAND","1"
"12/13/2012","BROOKLYN","388"
"02/27/2015","BRONX","299"
"10/08/2024","MANHATTAN","403"
"10/17/2008","BRONX","340"
"11/12/2009","MANHATTAN","325"
"09/05/2010","STATEN ISLAND","59"
"08/17/2001","BROOKLYN","1"
"09/21/2018","MANHATTAN","332"
"01/15/2009","QUEENS","258"
"03/16/2024","STATEN ISLAND","62"
"02/24/2009","STATEN ISLAND","66"
"02/03/2021","(null)","1"
"09/01/2020","STATEN ISLAND","59"
"02/11/2009","MANHATTAN","360"
"05/18/2011","QUEENS","286"
"02/02/2014","BRONX","233"
"07/25/2008","MANHATTAN","439"
"09/15/2021","BRONX","289"
"08/09/2016","MANHATTAN","324"
"04/16/2022","STATEN ISLAND","79"
"01/05/2024","MANHATTAN","380"
"06/14/2005","BRONX","1"
"12/19/2022","QUEENS","266"
"10/18/2007","(null)","2"
"12/18/2023","BRONX","296"
"11/02/2001","BRONX","1"
"03/21/2010","QUEENS","266"
"03/08/2016","BROOKLYN","404"
"06/13/2016","MANHATTAN","325"
"01/07/2020","STATEN ISLAND","61"
"05/12/2008","MANHATTAN","289"
"02/17/2015","QUEENS","214"
"10/15/2009","BROOKLYN","392"
"06/26/2017","QUEENS","275"
"06/06/2024","STATEN ISLAND","61"
"02/01/1970","BRONX","1"
"06/13/2013","BROOKLYN","387"
"01/27/2020","STATEN ISLAND","43"
"05/25/2021","STATEN ISLAND","50"
"01/11/2024","BROOKLYN","406"
"07/05/2004","QUEENS","2"
"04/18/2020","MANHATTAN","166"
"07/27/2007","STATEN ISLAND","71"
"03/20/2022","BRONX","337"
"06/20/2016","QUEENS","283"
"04/08/2006","STATEN ISLAND","68"
"01/20/2007","QUEENS","255"
"08/05/2011","BROOKLYN","491"
"08/10/2011","QUEENS","309"
"04/20/2024","MANHATTAN","365"
"06/07/2022","MANHATTAN","418"
"07/01/2002","MANHATTAN","5"
"11/24/2021","(null)","3"
"09/21/1968","BROOKLYN","1"
"11/25/2024","MANHATTAN","321"
"05/16/2020","STATEN ISLAND","36"
"05/09/2005","STATEN ISLAND","1"
"06/16/2011","BRONX","369"
"01/03/2016","QUEENS","265"
"07/21/1997","QUEENS","1"
"02/18/2020","MANHATTAN","342"
"07/13/2015","BROOKLYN","395"
"05/23/2020","MANHATTAN","179"
"03/14/2022","QUEENS","287"
"01/25/2018","QUEENS","208"
"04/17/2014","QUEENS","241"
"12/20/2021","BROOKLYN","393"
"01/29/2001","MANHATTAN","1"
"01/12/2014","QUEENS","273"
"09/05/2017","BROOKLYN","439"
"07/07/2013","MANHATTAN","321"
"08/21/2011","MANHATTAN","283"
"02/19/2022","STATEN ISLAND","57"
"04/13/2019","STATEN ISLAND","52"
"08/12/2016","BROOKLYN","400"
"10/21/2023","(null)","3"
"06/26/2007","(null)","6"
"08/24/1996","BRONX","1"
"03/28/2017","MANHATTAN","286"
"07/27/2019","BRONX","274"
"06/16/2011","QUEENS","286"
"09/14/2024","STATEN ISLAND","70"
"04/18/2003","QUEENS","1"
"05/03/2023","BRONX","400"
"06/17/2012","BROOKLYN","366"
"07/14/2018","QUEENS","267"
"11/13/2000","QUEENS","1"
"10/05/2001","STATEN ISLAND","2"
"12/07/2010","STATEN ISLAND","60"
"07/06/2022","BRONX","336"
"09/22/2007","MANHATTAN","352"
"08/18/2020","QUEENS","253"
"03/17/2009","STATEN ISLAND","78"
"06/14/2016","QUEENS","280"
"01/31/2004","BROOKLYN","3"
"06/25/2023","BRONX","328"
"08/29/2012","BROOKLYN","428"
"05/03/2023","BROOKLYN","490"
"08/07/2015","BROOKLYN","498"
"03/03/2010","MANHATTAN","356"
"02/15/2012","STATEN ISLAND","84"
"01/15/2010","STATEN ISLAND","69"
"08/10/1998","MANHATTAN","1"
"02/21/2013","QUEENS","249"
"05/31/2023","STATEN ISLAND","61"
"09/28/2005","BRONX","11"
"12/14/2022","QUEENS","353"
"04/12/2023","BRONX","351"
"08/31/2019","QUEENS","273"
"10/01/2001","QUEENS","3"
"06/21/2005","MANHATTAN","5"
"11/30/2019","BROOKLYN","343"
"08/22/2013","QUEENS","296"
"03/01/2012","BROOKLYN","526"
"03/17/2021","QUEENS","240"
"06/27/2018","STATEN ISLAND","58"
"08/10/2022","(null)","1"
"08/11/2007","STATEN ISLAND","61"
"06/19/2005","BROOKLYN","2"
"11/02/2012","BRONX","205"
"01/01/2019","QUEENS","481"
"05/21/2024","QUEENS","362"
"07/01/2023","(null)","7"
"01/30/2013","MANHATTAN","329"
"11/29/2018","STATEN ISLAND","60"
"10/25/2023","BROOKLYN","473"
"04/23/2014","QUEENS","293"
"07/28/2017","BROOKLYN","399"
"06/18/2022","BROOKLYN","411"
"03/19/2024","BROOKLYN","431"
"06/11/2011","QUEENS","238"
"10/04/2006","STATEN ISLAND","85"
"10/28/2004","QUEENS","1"
"10/02/1998","MANHATTAN","1"
"11/09/2017","STATEN ISLAND","60"
"12/04/2022","QUEENS","292"
"06/06/2008","MANHATTAN","427"
"08/01/2005","BROOKLYN","61"
"05/07/2012","BROOKLYN","353"
"05/30/2007","BROOKLYN","474"
"01/16/2020","BRONX","268"
"09/11/2021","QUEENS","285"
"04/21/2018","BRONX","287"
"09/22/2019","BRONX","250"
"07/31/2012","STATEN ISLAND","68"
"11/11/2017","BRONX","253"
"10/19/2012","BRONX","335"
"11/19/2012","QUEENS","240"
"02/28/2024","QUEENS","343"
"03/26/2015","BROOKLYN","384"
"05/04/2021","(null)","1"
"07/19/2006","MANHATTAN","383"
"09/02/2009","MANHATTAN","373"
"04/15/2011","STATEN ISLAND","73"
"07/13/2005","STATEN ISLAND","1"
"08/06/2008","QUEENS","286"
"08/31/2021","(null)","2"
"09/05/2020","BRONX","285"
"10/29/2004","QUEENS","1"
"05/08/2021","BROOKLYN","331"
"04/07/2006","BROOKLYN","479"
"08/18/2007","BROOKLYN","396"
"07/03/2019","STATEN ISLAND","68"
"01/03/2020","(null)","1"
"08/30/2011","MANHATTAN","328"
"02/14/2018","BRONX","281"
"05/07/2005","MANHATTAN","1"
"08/12/2022","STATEN ISLAND","66"
"10/14/2009","QUEENS","265"
"12/25/2011","MANHATTAN","145"
"08/02/2010","BROOKLYN","424"
"04/25/2014","BROOKLYN","484"
"12/06/2008","BROOKLYN","370"
"02/03/2013","MANHATTAN","274"
"02/02/2022","MANHATTAN","322"
"08/02/2021","BRONX","258"
"06/05/2010","QUEENS","276"
"05/31/2015","QUEENS","276"
"11/04/2019","QUEENS","255"
"03/29/2008","BRONX","303"
"05/09/2018","MANHATTAN","325"
"11/16/2018","QUEENS","206"
"10/04/2004","STATEN ISLAND","1"
"10/01/1989","BRONX","1"
"02/08/2005","MANHATTAN","1"
"07/08/2008","BRONX","319"
"10/15/2016","BRONX","274"
"05/09/2006","QUEENS","309"
"02/20/2013","QUEENS","258"
"12/31/2014","STATEN ISLAND","39"
"03/15/2022","BROOKLYN","413"
"06/13/2017","BROOKLYN","346"
"09/30/2002","MANHATTAN","1"
